Feature,Young Median [IQR],Middle Median [IQR],Older Median [IQR],Raw p-value,Cliffs delta,FDR Adj p-value,Significant (FDR<0.05)
semg_rms,5.11 [2.99],5.24 [1.93],6.03 [2.17],3.2108e-02,+0.3827,4.9946e-02,Yes
semg_std,1.56 [0.51],1.68 [0.68],1.80 [0.66],2.0671e-01,+0.2263,2.0671e-01,No
semg_p25,3.76 [2.17],4.20 [1.52],4.72 [1.93],2.1153e-02,+0.4115,4.2306e-02,Yes
semg_p75,4.84 [2.45],5.16 [2.22],6.24 [2.65],6.4835e-03,+0.4856,1.5128e-02,Yes
semg_p95,8.09 [3.26],8.27 [3.16],9.63 [3.71],4.7604e-02,+0.3539,6.6646e-02,No
angle_mean,33.03 [4.07],29.96 [4.64],29.72 [2.15],2.5369e-02,-0.3992,4.4396e-02,Yes
angle_std,32.70 [7.44],27.51 [6.11],24.00 [3.33],4.3286e-05,-0.7284,1.5150e-04,Yes
angle_range,178.73 [38.29],151.48 [32.88],126.71 [20.83],2.7111e-06,-0.8354,2.3778e-05,Yes
angle_p25,13.39 [0.46],13.63 [0.55],13.54 [0.29],1.2339e-01,+0.2757,1.4396e-01,No
angle_p75,39.40 [5.72],36.15 [7.18],37.97 [3.57],1.9053e-01,-0.2346,2.0519e-01,No
angle_p95,99.88 [23.78],91.71 [27.04],82.51 [12.69],8.1451e-04,-0.5967,2.2806e-03,Yes
imu_accel_rms,1.04 [0.02],1.05 [0.02],1.04 [0.01],1.0736e-01,-0.2881,1.3663e-01,No
imu_accel_std,0.16 [0.05],0.14 [0.04],0.12 [0.02],1.7257e-05,-0.7654,8.0532e-05,Yes
imu_accel_p95,1.37 [0.09],1.31 [0.10],1.28 [0.04],3.3968e-06,-0.8272,2.3778e-05,Yes
