trial_key,subject_id,cross_subject_split,condition_category,condition_id,condition_name,repetition,release_status,exclusion_reason,relative_path,amg_rows,semg_rows,motion_rows,common_duration_s,auditory_cue_record_available,auditory_cue_event_count,auditory_cue_onsets_s_relative_to_shared_trial_origin,auditory_cue_used_for_benchmark_alignment
user01|functional_action|deadlift|A1,user01,train,functional_action,deadlift,Deadlift,A1,released,,data/trials/user01/functional_action/deadlift/A1.npz,22385.0,13990.0,1260.0,13.990413427352903,True,3.0,"[2.008685350418091,6.058680295944214,10.028392314910889]",False
user01|functional_action|deadlift|A2,user01,train,functional_action,deadlift,Deadlift,A2,released,,data/trials/user01/functional_action/deadlift/A2.npz,22039.0,13775.0,1240.0,13.774513006210327,True,3.0,"[1.8624379634857178,5.922212839126587,9.865470886230469]",False
user01|functional_action|deadlift|A3,user01,train,functional_action,deadlift,Deadlift,A3,released,,data/trials/user01/functional_action/deadlift/A3.npz,21887.0,13679.0,1232.0,13.679065227508543,True,3.0,"[1.7738990783691406,5.81538724899292,9.769290208816528]",False
user01|functional_action|deadlift|A4,user01,train,functional_action,deadlift,Deadlift,A4,released,,data/trials/user01/functional_action/deadlift/A4.npz,21923.0,13703.0,1234.0,13.702304601669312,True,3.0,"[1.7811753749847412,5.829400539398193,9.781457424163818]",False
user01|functional_action|deep_squat|A1,user01,train,functional_action,deep_squat,Deep Squat,A1,released,,data/trials/user01/functional_action/deep_squat/A1.npz,22110.0,13818.0,1244.0,13.818396091461182,True,3.0,"[1.9531347751617432,5.996178865432739,9.9563307762146]",False
user01|functional_action|deep_squat|A2,user01,train,functional_action,deep_squat,Deep Squat,A2,released,,data/trials/user01/functional_action/deep_squat/A2.npz,21990.0,13743.0,1237.0,13.743420362472534,True,3.0,"[1.7722623348236084,5.79925537109375,9.847160339355469]",False
user01|functional_action|deep_squat|A3,user01,train,functional_action,deep_squat,Deep Squat,A3,released,,data/trials/user01/functional_action/deep_squat/A3.npz,21988.0,13743.0,1237.0,13.742677927017212,True,3.0,"[1.767338752746582,5.82642674446106,9.854349613189697]",False
user01|functional_action|deep_squat|A4,user01,train,functional_action,deep_squat,Deep Squat,A4,released,,data/trials/user01/functional_action/deep_squat/A4.npz,21981.0,13738.0,1237.0,13.737991333007812,True,3.0,"[1.7675001621246338,5.80428409576416,9.851931095123291]",False
user01|functional_action|forward_lunge|A1,user01,train,functional_action,forward_lunge,Forward Lunge,A1,released,,data/trials/user01/functional_action/forward_lunge/A1.npz,22075.0,13797.0,1242.0,13.796664953231812,True,3.0,"[1.8081047534942627,5.86061692237854,9.812655925750732]",False
user01|functional_action|forward_lunge|A2,user01,train,functional_action,forward_lunge,Forward Lunge,A2,released,,data/trials/user01/functional_action/forward_lunge/A2.npz,22025.0,13766.0,1239.0,13.765330791473389,True,3.0,"[1.8781795501708984,5.922996520996094,9.874232530593872]",False
user01|functional_action|forward_lunge|A3,user01,train,functional_action,forward_lunge,Forward Lunge,A3,released,,data/trials/user01/functional_action/forward_lunge/A3.npz,22003.0,13752.0,1238.0,13.751917123794556,True,3.0,"[1.8285620212554932,5.8775482177734375,9.825955152511597]",False
user01|functional_action|forward_lunge|A4,user01,train,functional_action,forward_lunge,Forward Lunge,A4,released,,data/trials/user01/functional_action/forward_lunge/A4.npz,22005.0,13753.0,1238.0,13.752926111221312,True,3.0,"[1.8588199615478516,5.920144081115723,9.879297971725464]",False
user01|functional_action|heel_raise|A1,user01,train,functional_action,heel_raise,Heel Raise,A1,released,,data/trials/user01/functional_action/heel_raise/A1.npz,22067.0,13792.0,1242.0,13.792027950286863,True,3.0,"[1.7960968017578125,5.839893817901611,9.789572954177856]",False
user01|functional_action|heel_raise|A2,user01,train,functional_action,heel_raise,Heel Raise,A2,released,,data/trials/user01/functional_action/heel_raise/A2.npz,21987.0,13741.0,1237.0,13.741775751113892,True,3.0,"[1.824805498123169,5.858311653137207,9.90970253944397]",False
user01|functional_action|heel_raise|A3,user01,train,functional_action,heel_raise,Heel Raise,A3,released,,data/trials/user01/functional_action/heel_raise/A3.npz,21905.0,13691.0,1232.0,13.690016508102415,True,3.0,"[1.7655882835388184,5.824051380157471,9.78354024887085]",False
user01|functional_action|heel_raise|A4,user01,train,functional_action,heel_raise,Heel Raise,A4,released,,data/trials/user01/functional_action/heel_raise/A4.npz,21950.0,13719.0,1235.0,13.718814373016356,True,3.0,"[1.8155152797698975,5.883893251419067,9.835370302200317]",False
user01|functional_action|left_lunge|A1,user01,train,functional_action,left_lunge,Left Lunge,A1,released,,data/trials/user01/functional_action/left_lunge/A1.npz,21976.0,13735.0,1237.0,13.735098361968994,True,3.0,"[1.8192682266235352,5.856496334075928,9.911726236343384]",False
user01|functional_action|left_lunge|A2,user01,train,functional_action,left_lunge,Left Lunge,A2,released,,data/trials/user01/functional_action/left_lunge/A2.npz,22001.0,13750.0,1238.0,13.750478506088257,True,3.0,"[1.7992095947265625,5.8500285148620605,9.794753551483154]",False
user01|functional_action|left_lunge|A3,user01,train,functional_action,left_lunge,Left Lunge,A3,released,,data/trials/user01/functional_action/left_lunge/A3.npz,22117.0,13824.0,1245.0,13.823168516159058,True,3.0,"[1.8193933963775635,5.853813409805298,9.911110401153564]",False
user01|functional_action|left_lunge|A4,user01,train,functional_action,left_lunge,Left Lunge,A4,released,,data/trials/user01/functional_action/left_lunge/A4.npz,22038.0,13774.0,1240.0,13.7741539478302,True,3.0,"[1.7881839275360107,5.840876817703247,9.796123027801514]",False
user01|functional_action|quiet_sit|A1,user01,train,functional_action,quiet_sit,Quiet Sit,A1,released,,data/trials/user01/functional_action/quiet_sit/A1.npz,21931.0,13707.0,1234.0,13.706376791000366,True,3.0,"[1.7789885997772217,5.844039678573608,9.773425579071045]",False
user01|functional_action|quiet_sit|A2,user01,train,functional_action,quiet_sit,Quiet Sit,A2,released,,data/trials/user01/functional_action/quiet_sit/A2.npz,21993.0,13745.0,1237.0,13.745184183120728,True,3.0,"[1.803929090499878,5.838905096054077,9.875140190124512]",False
user01|functional_action|quiet_sit|A3,user01,train,functional_action,quiet_sit,Quiet Sit,A3,released,,data/trials/user01/functional_action/quiet_sit/A3.npz,21964.0,13727.0,1236.0,13.727111339569092,True,3.0,"[1.809314250946045,5.857264280319214,9.89505124092102]",False
user01|functional_action|quiet_sit|A4,user01,train,functional_action,quiet_sit,Quiet Sit,A4,released,,data/trials/user01/functional_action/quiet_sit/A4.npz,21960.0,13726.0,1236.0,13.725221157073976,True,3.0,"[1.7726020812988281,5.818852186203003,9.865173101425171]",False
user01|functional_action|quiet_stand|A1,user01,train,functional_action,quiet_stand,Quiet Stand,A1,released,,data/trials/user01/functional_action/quiet_stand/A1.npz,22066.0,13791.0,1242.0,13.791079759597778,True,3.0,"[1.828460693359375,5.861910581588745,9.905427694320679]",False
user01|functional_action|quiet_stand|A2,user01,train,functional_action,quiet_stand,Quiet Stand,A2,released,,data/trials/user01/functional_action/quiet_stand/A2.npz,22000.0,13750.0,1238.0,13.74967885017395,True,3.0,"[1.694718837738037,5.739011764526367,9.78221869468689]",False
user01|functional_action|quiet_stand|A3,user01,train,functional_action,quiet_stand,Quiet Stand,A3,released,,data/trials/user01/functional_action/quiet_stand/A3.npz,22007.0,13754.0,1238.0,13.754302501678469,True,3.0,"[1.9962043762207031,6.0528154373168945,9.995265483856201]",False
user01|functional_action|quiet_stand|A4,user01,train,functional_action,quiet_stand,Quiet Stand,A4,released,,data/trials/user01/functional_action/quiet_stand/A4.npz,21840.0,13650.0,1229.0,13.649895906448364,True,3.0,"[1.8075809478759766,5.854568004608154,9.891337871551514]",False
user01|functional_action|single_leg_stance|A1,user01,train,functional_action,single_leg_stance,Single-leg Stance,A1,released,,data/trials/user01/functional_action/single_leg_stance/A1.npz,22137.0,13836.0,1246.0,13.83594274520874,True,3.0,"[1.793602705001831,5.8252856731414795,9.870319843292236]",False
user01|functional_action|single_leg_stance|A2,user01,train,functional_action,single_leg_stance,Single-leg Stance,A2,released,,data/trials/user01/functional_action/single_leg_stance/A2.npz,22153.0,13846.0,1247.0,13.845980167388916,True,3.0,"[1.8093299865722656,5.852461099624634,9.89812707901001]",False
user01|functional_action|single_leg_stance|A3,user01,train,functional_action,single_leg_stance,Single-leg Stance,A3,released,,data/trials/user01/functional_action/single_leg_stance/A3.npz,22010.0,13756.0,1239.0,13.756410121917725,True,3.0,"[1.854978084564209,5.892597198486328,9.852250099182129]",False
