semg_rms,semg_std,semg_p25,semg_p75,semg_p95,angle_mean,angle_std,angle_range,angle_p25,angle_p75,angle_p95,amg_rms,amg_std,amg_p95
167.1503,167.1503,-24.073658,22.778284,170.6778,62.747303,36.380745,94.94534,14.76199,98.37053,101.22868,18.794123,18.794123,26.15318
175.73645,175.73647,-21.014732,20.133587,181.60205,61.78222,35.272274,93.34094,16.576813,95.543304,99.26226,20.654322,20.654324,27.501825
171.80411,171.8041,-23.453016,21.670301,181.1676,62.254173,34.87905,91.76338,18.583115,96.22431,98.36384,20.784195,20.784197,27.81598
161.2051,161.2051,-20.47863,19.388554,169.53508,61.73834,34.347343,91.4964,18.60204,95.27004,98.06277,18.599264,18.599264,25.071167
170.97314,170.97314,-19.192211,18.164415,159.28117,60.176044,35.748486,94.718185,11.844333,95.91748,97.858,18.959715,18.959715,25.075302
168.01753,168.01753,-17.672152,16.26968,165.3192,60.28026,35.514774,93.59397,12.860348,96.18549,98.04999,18.790863,18.790863,24.211681
162.85707,162.85707,-16.851995,15.85723,146.79607,59.88944,35.84007,91.35455,11.222601,95.91434,98.3881,17.959433,17.959435,23.876232
176.36205,176.36205,-17.17441,16.41059,156.79642,59.937714,36.232952,91.97121,10.669055,96.04002,99.02465,19.335663,19.335667,26.161968
240.99973,240.99973,-21.356617,19.670498,212.91684,53.633694,35.23027,103.60017,15.479272,79.71326,108.368385,18.571085,18.571087,26.93273
227.27606,227.27606,-18.228521,16.156397,201.03157,53.677967,35.543,107.14778,16.864891,78.16395,110.22661,18.419931,18.41993,25.747368
205.7003,205.7003,-17.47765,16.604904,188.65982,53.77424,34.53013,101.72603,17.051546,75.94728,109.24745,16.40047,16.40047,24.076048
144.62907,144.62907,-19.141268,17.775652,130.48573,52.742718,33.887363,92.57156,15.434967,75.516396,105.2555,13.501807,13.501808,19.069382
122.33674,122.33675,-19.653,18.480968,96.64752,53.531433,32.009705,106.86459,15.277612,82.82464,93.27631,89.85659,89.8566,108.50157
125.969635,125.969635,-17.31283,16.13096,91.42846,53.415806,31.1168,101.74841,16.101542,78.88552,92.33809,72.27411,72.27412,99.70737
125.55975,125.55975,-18.489376,16.640228,93.404045,53.204117,31.36217,98.65445,15.462337,78.691086,92.969666,77.93244,77.932434,107.58556
127.142395,127.142395,-18.093586,16.605785,85.323715,53.29881,31.14025,99.39725,15.839733,79.1976,93.21688,82.220566,82.220566,106.0252
104.293724,104.293724,-38.96936,45.89652,167.16217,60.77418,33.632267,96.43673,21.985668,91.458725,99.29591,21.921125,21.921124,32.637978
94.94161,94.94162,-39.906578,38.51769,153.07819,60.780003,33.91927,100.09875,22.443565,91.17344,100.08833,24.021538,24.021538,34.232758
88.21149,88.21149,-32.73555,30.97494,136.43355,60.327232,33.82127,98.748764,19.435741,91.11941,98.83558,23.940258,23.940258,32.951084
98.00238,98.00239,-35.42428,33.740143,155.06293,60.64444,34.174397,98.05869,19.161057,91.67326,99.58099,25.733429,25.733433,37.038727
125.9639,125.9639,-57.2211,65.65895,202.47266,60.970745,31.628748,96.2174,38.911324,90.3445,97.77719,19.508324,19.508326,27.271215
125.961464,125.961464,-45.39379,62.2695,199.82445,59.696247,33.064297,97.35097,24.44335,90.1422,97.75028,20.39027,20.390272,28.93959
150.92859,150.92859,-59.308426,80.21939,244.74884,59.20475,33.846466,97.70991,19.325066,90.00475,98.07544,23.066559,23.06656,32.47502
127.04704,127.04704,-47.726135,62.55261,199.49603,59.239994,34.083656,98.041145,17.861032,89.47797,99.057144,22.022518,22.022516,31.200207
120.81016,120.81016,-28.420101,32.903427,191.48541,51.86528,33.553944,105.467964,17.43602,70.677795,111.897,25.384153,25.384157,38.230247
103.458916,103.45892,-16.977188,25.274387,144.45334,52.096066,33.661106,104.77664,17.16024,67.918655,112.07921,21.435427,21.435425,32.14248
98.30575,98.30575,-24.410511,30.793276,150.3766,51.829357,34.37868,103.968445,15.79411,68.74179,111.96158,23.494516,23.494518,35.05973
121.50036,121.50036,-23.568432,29.664946,203.18877,51.761143,35.12711,106.4149,16.002098,67.79549,112.88981,23.545368,23.545368,35.79674
83.01353,83.01353,-24.356915,26.819866,124.97349,54.677177,30.104736,111.54427,19.424583,81.952736,91.44479,51.022694,51.022694,74.72105
99.63032,99.63032,-23.85043,26.736622,134.51169,53.86925,30.217657,109.8002,17.752258,82.894684,90.72986,43.402626,43.40262,66.142975
82.91735,82.91734,-20.120419,23.58155,110.707985,53.833977,30.848677,112.78777,17.261396,82.93522,90.05163,50.756718,50.75672,73.57146
112.3692,112.3692,-20.062706,26.31562,155.27684,53.49751,30.605068,114.76884,17.695484,82.80155,90.609726,49.72478,49.724785,76.37221
54.52723,54.52723,-16.761875,15.2484455,66.169914,56.926083,42.467876,104.439735,7.429774,99.17941,103.170006,30.91352,30.913519,39.691742
66.15414,66.15414,-18.753551,17.084196,71.51603,56.405468,41.22192,102.36773,6.8493724,97.318665,102.99869,32.45691,32.456913,44.896816
53.76449,53.76449,-15.204108,14.125117,58.264477,56.018383,41.73679,103.246826,6.848362,97.343506,102.4546,26.764086,26.764086,40.016266
56.244297,56.244297,-16.034546,14.57002,66.17418,56.42993,42.09093,103.13633,6.937784,98.12132,102.982086,28.368902,28.368904,39.12575
69.54499,69.54499,-19.571533,16.757795,74.53031,56.292267,42.0372,102.254776,7.4707785,98.13745,102.15229,30.672115,30.672115,38.777985
56.18853,56.18853,-17.860672,16.47831,64.75804,56.38983,41.962315,103.1115,6.9134173,98.170074,102.51011,27.85625,27.856249,38.658417
