semg_rms,semg_std,semg_max,angle_mean,angle_std,angle_range,amg_rms,amg_std
167.1503,167.1503,3414.3315,62.747303,36.380745,94.94534,18.794123,18.794123
175.73645,175.73647,2652.9263,61.78222,35.272274,93.34094,20.654322,20.654324
171.80411,171.8041,2468.3215,62.254173,34.87905,91.76338,20.784195,20.784197
161.2051,161.2051,3159.8389,61.73834,34.347343,91.4964,18.599264,18.599264
170.97314,170.97314,2593.3438,60.176044,35.748486,94.718185,18.959715,18.959715
168.01753,168.01753,2396.6807,60.28026,35.514774,93.59397,18.790863,18.790863
162.85707,162.85707,2440.0908,59.88944,35.84007,91.35455,17.959433,17.959435
176.36205,176.36205,3072.9595,59.937714,36.232952,91.97121,19.335663,19.335667
240.99973,240.99973,3413.029,53.633694,35.23027,103.60017,18.571085,18.571087
227.27606,227.27606,2604.4197,53.677967,35.543,107.14778,18.419931,18.41993
205.7003,205.7003,3126.1985,53.77424,34.53013,101.72603,16.40047,16.40047
144.62907,144.62907,2518.8105,52.742718,33.887363,92.57156,13.501807,13.501808
122.33674,122.33675,3524.8982,53.531433,32.009705,106.86459,89.85659,89.8566
125.969635,125.969635,3660.9583,53.415806,31.1168,101.74841,72.27411,72.27412
125.55975,125.55975,3947.1973,53.204117,31.36217,98.65445,77.93244,77.932434
127.142395,127.142395,3731.9575,53.29881,31.14025,99.39725,82.220566,82.220566
104.293724,104.293724,777.2933,60.77418,33.632267,96.43673,21.921125,21.921124
94.94161,94.94162,732.0616,60.780003,33.91927,100.09875,24.021538,24.021538
88.21149,88.21149,790.7856,60.327232,33.82127,98.748764,23.940258,23.940258
98.00238,98.00239,817.8834,60.64444,34.174397,98.05869,25.733429,25.733433
125.9639,125.9639,862.7485,60.970745,31.628748,96.2174,19.508324,19.508326
125.961464,125.961464,886.3309,59.696247,33.064297,97.35097,20.39027,20.390272
150.92859,150.92859,981.0572,59.20475,33.846466,97.70991,23.066559,23.06656
127.04704,127.04704,866.2198,59.239994,34.083656,98.041145,22.022518,22.022516
120.81016,120.81016,1069.9784,51.86528,33.553944,105.467964,25.384153,25.384157
103.458916,103.45892,873.2277,52.096066,33.661106,104.77664,21.435427,21.435425
98.30575,98.30575,886.04474,51.829357,34.37868,103.968445,23.494516,23.494518
121.50036,121.50036,954.08276,51.761143,35.12711,106.4149,23.545368,23.545368
83.01353,83.01353,720.79663,54.677177,30.104736,111.54427,51.022694,51.022694
99.63032,99.63032,1450.2961,53.86925,30.217657,109.8002,43.402626,43.40262
82.91735,82.91734,910.3146,53.833977,30.848677,112.78777,50.756718,50.75672
112.3692,112.3692,1134.2344,53.49751,30.605068,114.76884,49.72478,49.724785
54.52723,54.52723,881.2818,56.926083,42.467876,104.439735,30.91352,30.913519
